"sales_key","date_key","customer_key","movie_key","store_key","sales_amount"
1520,70215,341,749,1,"7.99"
1778,70216,341,552,2,"1.99"
1849,70216,341,551,1,"7.99"
2829,70219,341,445,1,"2.99"
3130,70220,341,563,1,"7.99"
3382,70221,341,26,1,"5.99"
2190,70217,342,961,2,"5.99"
2914,70220,342,527,2,"5.99"
3081,70220,342,449,2,"2.99"
1547,70216,343,639,2,"4.99"
1564,70216,343,30,1,"6.99"
1879,70217,343,868,1,"0.99"
1922,70217,343,545,1,"0.99"
2461,70218,343,16,1,"6.99"
2980,70220,343,69,2,"8.99"
3407,70221,343,855,2,"0.99"
1341,70215,344,738,1,"3.99"
1475,70215,344,398,2,"4.99"
1731,70216,344,809,2,"0.99"
1210,70215,345,1,2,"0.99"
1457,70215,345,159,2,"4.99"
1550,70216,345,436,2,"0.99"
2766,70219,345,749,2,"4.99"
1994,70217,346,476,2,"5.99"
3372,70221,346,906,2,"2.99"
3421,70221,346,857,1,"2.99"
1711,70216,347,61,1,"8.99"
2274,70218,347,663,2,"0.99"
3026,70220,347,878,2,"4.99"
3092,70220,347,946,2,"8.99"
3326,70221,347,229,2,"7.99"
1654,70216,348,232,1,"2.99"
2041,70217,348,170,2,"8.99"
2499,70218,348,697,1,"0.99"
1197,70215,349,835,1,"2.99"
1523,70215,349,149,2,"0.99"
2987,70220,349,334,2,"6.99"
3067,70220,349,680,2,"8.99"
2011,70217,350,160,2,"3.99"
2619,70219,350,402,2,"0.99"
3079,70220,350,462,1,"2.99"
3206,70220,350,475,2,"0.99"
1792,70216,351,832,1,"5.99"
1869,70217,351,191,2,"0.99"
2759,70219,351,150,2,"2.99"
1498,70215,352,807,1,"0.99"
1649,70216,352,86,1,"4.99"
1678,70216,352,403,2,"4.99"
1780,70216,352,31,1,"4.99"
3331,70221,352,640,2,"4.99"
1359,70215,353,690,1,"2.99"
1928,70217,353,757,2,"7.99"
3233,70221,353,774,1,"6.99"
1491,70215,354,186,1,"0.99"
2275,70218,354,616,1,"4.99"
2769,70219,354,271,1,"6.99"
3139,70220,354,761,2,"2.99"
1488,70215,355,241,1,"0.99"
1612,70216,355,664,2,"2.99"
1410,70215,356,176,1,"0.99"
2405,70218,356,788,1,"2.99"
2433,70218,356,207,1,"4.99"
1246,70215,357,95,2,"5.99"
1788,70216,357,831,1,"1.99"
1971,70217,357,629,2,"1.99"
2153,70217,357,532,2,"6.99"
1455,70215,358,474,2,"2.99"
1908,70217,358,89,1,"0.99"
2114,70217,358,774,1,"5.99"
2721,70219,358,829,1,"2.99"
2749,70219,358,337,1,"2.99"
3245,70221,358,447,1,"2.99"
1329,70215,359,255,1,"4.99"
1770,70216,359,367,1,"1.99"
2401,70218,359,17,2,"0.99"
2736,70219,359,985,1,"4.99"
1492,70215,360,901,1,"0.99"
2402,70218,360,621,2,"6.99"
2541,70219,360,25,2,"3.99"
2780,70219,360,330,2,"6.99"
2353,70218,361,708,1,"4.99"
2558,70219,361,641,2,"1.99"
2851,70219,361,468,1,"2.99"
3303,70221,361,344,1,"2.99"
1429,70215,362,895,1,"2.99"
1529,70215,362,368,1,"2.99"
1615,70216,362,850,2,"2.99"
3197,70220,362,393,1,"2.99"
3393,70221,362,356,2,"2.99"
1426,70215,363,964,2,"4.99"
1569,70216,363,856,2,"4.99"
1847,70216,363,265,1,"4.99"
2540,70219,363,938,1,"4.99"
3281,70221,363,872,2,"2.99"
1722,70216,364,463,2,"2.99"
2442,70218,364,880,2,"2.99"
2606,70219,364,898,1,"4.99"
2857,70219,364,633,2,"4.99"
2962,70220,364,652,1,"3.99"
1303,70215,365,436,1,"1.99"
1578,70216,365,745,2,"6.99"
1983,70217,365,426,2,"4.99"
2525,70218,365,288,2,"2.99"
3156,70220,365,479,2,"0.99"
1401,70215,366,890,1,"1.99"
2214,70218,366,531,1,"0.99"
3078,70220,367,795,1,"0.99"
1186,70214,368,341,2,"0.99"
1513,70215,368,260,2,"9.99"
2531,70218,368,167,2,"4.99"
2694,70219,368,84,1,"4.99"
2744,70219,368,985,1,"4.99"
3275,70221,368,504,1,"4.99"
1224,70215,369,345,1,"0.99"
1190,70214,370,563,1,"6.99"
1212,70215,371,789,1,"2.99"
1218,70215,371,54,1,"1.99"
1573,70216,371,990,2,"6.99"
1675,70216,371,668,2,"5.99"
2837,70219,371,91,2,"0.99"
3176,70220,371,432,2,"3.99"
3396,70221,371,602,1,"0.99"
2315,70218,372,608,1,"2.99"
2959,70220,372,911,2,"4.99"
3283,70221,372,869,2,"3.99"
1472,70215,373,920,2,"6.99"
3161,70220,373,293,1,"2.99"
1548,70216,374,454,1,"1.99"
2046,70217,374,191,2,"1.99"
2487,70218,374,805,2,"4.99"
2641,70219,374,51,2,"2.99"
1404,70215,375,609,2,"2.99"
1499,70215,375,35,2,"5.99"
2236,70218,375,871,2,"4.99"
1208,70215,376,164,2,"0.99"
2779,70219,376,228,2,"0.99"
2556,70219,377,25,1,"3.99"
3080,70220,377,23,2,"1.99"
3086,70220,377,970,2,"0.99"
3136,70220,377,735,2,"2.99"
3443,70221,377,358,1,"4.99"
1623,70216,378,980,1,"4.99"
1662,70216,378,776,2,"5.99"
2134,70217,378,370,1,"7.99"
2713,70219,378,867,1,"4.99"
1383,70215,379,284,1,"8.99"
2313,70218,379,689,1,"5.99"
2926,70220,379,235,1,"2.99"
1868,70217,380,526,2,"3.99"
1984,70217,380,748,2,"2.99"
2018,70217,380,283,1,"3.99"
2440,70218,380,628,1,"2.99"
2464,70218,380,102,2,"4.99"
2998,70220,380,285,1,"1.99"
3099,70220,380,821,2,"1.99"
3260,70221,380,791,2,"4.99"
1402,70215,381,425,2,"3.99"
1878,70217,381,730,2,"1.99"
2410,70218,381,59,1,"2.99"
2418,70218,381,604,2,"4.99"
3425,70221,381,993,1,"2.99"
2389,70218,382,160,1,"0.99"
2468,70218,382,398,2,"4.99"
2489,70218,382,873,2,"1.99"
2514,70218,382,561,1,"2.99"
3125,70220,382,725,1,"4.99"
1831,70216,383,572,2,"7.99"
2228,70218,383,109,2,"2.99"
2252,70218,383,433,1,"2.99"
2318,70218,383,505,2,"2.99"
2609,70219,383,487,2,"7.99"
3091,70220,383,188,1,"2.99"
1961,70217,384,625,1,"0.99"
2020,70217,384,416,2,"0.99"
2378,70218,384,614,1,"7.99"
2510,70218,384,838,2,"5.99"
2935,70220,384,600,1,"3.99"
3088,70220,384,670,1,"9.99"
3101,70220,384,378,1,"4.99"
1746,70216,385,930,1,"2.99"
1937,70217,385,281,1,"0.99"
3105,70220,385,26,1,"0.99"
1585,70216,386,373,1,"3.99"
1608,70216,386,566,1,"2.99"
1819,70216,386,368,1,"5.99"
2732,70219,386,132,2,"0.99"
3351,70221,386,349,1,"2.99"
1464,70215,387,894,2,"0.99"
1465,70215,387,132,1,"0.99"
2068,70217,387,924,2,"0.99"
2100,70217,387,489,2,"0.99"
2981,70220,387,115,2,"5.99"
3378,70221,387,7,2,"4.99"
1276,70215,388,330,1,"6.99"
2145,70217,388,54,1,"0.99"
2537,70219,388,767,1,"5.99"
2692,70219,388,694,1,"4.99"
3159,70220,388,7,1,"7.99"
1763,70216,389,422,2,"4.99"
1946,70217,389,507,2,"4.99"
2552,70219,389,143,2,"3.99"
1539,70215,390,59,2,"5.99"
1730,70216,390,302,1,"2.99"
1893,70217,390,735,2,"2.99"
2330,70218,390,933,1,"7.99"
3147,70220,390,133,2,"5.99"
1232,70215,391,602,1,"0.99"
1931,70217,391,309,1,"0.99"
2045,70217,391,122,1,"2.99"
2690,70219,391,303,1,"2.99"
3163,70220,391,577,1,"2.99"
1530,70215,392,528,1,"6.99"
1764,70216,392,154,2,"2.99"
2289,70218,392,442,1,"2.99"
2890,70220,392,753,2,"4.99"
1611,70216,393,378,2,"6.99"
1915,70217,393,574,2,"1.99"
2219,70218,393,410,1,"2.99"
2319,70218,393,331,2,"4.99"
3001,70220,393,646,1,"2.99"
1324,70215,394,167,1,"4.99"
1270,70215,395,12,1,"0.99"
1562,70216,395,130,1,"0.99"
1603,70216,395,728,1,"0.99"
3030,70220,395,338,2,"4.99"
3310,70221,395,374,2,"0.99"
3389,70221,395,159,1,"6.99"
1370,70215,396,140,1,"1.99"
1385,70215,396,888,1,"4.99"
1408,70215,396,582,2,"6.99"
1769,70216,397,272,1,"5.99"
3027,70220,397,877,2,"1.99"
1228,70215,398,977,2,"2.99"
2087,70217,398,103,1,"6.99"
3141,70220,398,392,1,"9.99"
2961,70220,399,991,1,"2.99"
3036,70220,399,975,2,"5.99"
1364,70215,400,23,1,"0.99"
1917,70217,400,586,1,"3.99"
1923,70217,400,151,1,"6.99"
1194,70214,402,826,2,"4.99"
2490,70218,402,420,2,"4.99"
2913,70220,402,758,2,"2.99"
1221,70215,403,460,2,"4.99"
1249,70215,403,460,1,"8.99"
2488,70218,403,295,1,"3.99"
2927,70220,403,86,2,"4.99"
3049,70220,403,114,2,"6.99"
3356,70221,403,989,1,"5.99"
1506,70215,404,890,2,"2.99"
1840,70216,404,75,2,"4.99"
2715,70219,404,451,2,"4.99"
2951,70220,404,638,1,"2.99"
1315,70215,405,842,1,"4.99"
1888,70217,405,629,2,"0.99"
1953,70217,405,776,1,"5.99"
2654,70219,405,809,2,"3.99"
3240,70221,405,645,2,"4.99"
3253,70221,405,415,1,"5.99"
2113,70217,406,330,1,"4.99"
2150,70217,406,415,2,"3.99"
2241,70218,406,204,2,"2.99"
2325,70218,406,164,2,"0.99"
2585,70219,406,18,2,"0.99"
3186,70220,406,702,2,"7.99"
3306,70221,406,364,1,"4.99"
1698,70216,407,322,2,"2.99"
2597,70219,407,493,2,"0.99"
2479,70218,408,354,2,"4.99"
2564,70219,408,873,1,"2.99"
2728,70219,408,169,2,"2.99"
1226,70215,409,496,2,"5.99"
2310,70218,409,568,2,"8.99"
1514,70215,410,645,1,"2.99"
2073,70217,410,772,2,"2.99"
2255,70218,410,5,2,"4.99"
2400,70218,410,702,1,"5.99"
2971,70220,410,348,2,"0.99"
3249,70221,410,154,1,"4.99"
1985,70217,411,18,1,"0.99"
1997,70217,411,185,1,"2.99"
2712,70219,411,688,2,"0.99"
3292,70221,412,724,2,"2.99"
2130,70217,413,301,2,"5.99"
2545,70219,413,710,2,"4.99"
2246,70218,414,933,1,"4.99"
2559,70219,414,969,1,"9.99"
3318,70221,414,246,2,"5.99"
1867,70217,415,773,2,"4.99"
3211,70220,415,254,2,"2.99"
1158,70214,416,356,2,"2.99"
1343,70215,416,522,2,"4.99"
1553,70216,416,877,1,"0.99"
1596,70216,416,559,2,"2.99"
1771,70216,416,383,2,"0.99"
